ZipCode,RepCompanyName,TduCompanyName,RepCompany,Product,kwh500,kwh1000,kwh2000,kwh500_PerMo,kwh1000_PerMo,kwh2000_PerMo,PrePaid,Fixed,RateType,Renewable,TermTypeDesc,TermValue,TermType,CancelTypeDesc,CancelType,Website,SpecialTerms,TermsURL,FactsURL,PrepaidURL,Promotion,PromotionDesc
"","","TEXAS-NEW MEXICO POWER COMPANY","Texpo Energy","Try Us Out Plan",0.1300,0.1080,0.1050,65.0000,108.0000,210.0000,False,0,"Variable","10","Value","0","0","Text","$0.00","http://www.texpoenergy.com","No Special Terms","http://www.texpoenergy.com/Docs/texpo-tos-flex.pdf","http://www.texpoenergy.com/Docs/texpo-efl-flex-nongreen.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","Cirro Energy","Smart Guard 12",0.1210,0.0970,0.0930,60.5000,97.0000,186.0000,False,1,"Fixed","4","Value","12","12","Value","150.00","https://www.cirroenergy.com/Orders/default.aspx?order_path=1&offer_id=3254&tdsp_id=64&agent_id=101","Save on your electricity and well protect your home appliances for FREE. Sign up today on the Smart Guard plan to lock in your savings for one year and as a bonus, you will receive FREE coverage up to $1,000 in annual payment for damage caused by electrical surges to your homes electronics and appliances.","http://www.cirroenergy.com/FileViewer.aspx?cd=inline&type=TosaFile&id=2997","http://www.cirroenergy.com/FileViewer.aspx?cd=inline&type=EflFile&id=2997","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","YEP","9 Month Green Earth 100% Renewable Guaranteed E-Plan With Fixed Term ",0.1290,0.1070,0.1040,64.5000,107.0000,208.0000,False,1,"Fixed","100","Value","9","9","Value","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","http://www.yeptexas.com/Docs/yep-efl-fixed-9-green.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Southwest Power & Light","Spirit of Texas Fixed 9 Month  E-Plan",0.1190,0.0970,0.0940,59.5000,97.0000,188.0000,False,1,"Fixed","10","Value","9","9","Value","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","https://www.southwestpl.com/Docs/swpl-efl-fixed-9-nongreen.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Gexa Energy","Gexa 12",0.1130,0.0990,0.0920,56.5000,99.0000,184.0000,False,1,"Fixed","12","Value","12","12","Value","150.00","http://www.gexaenergy.com/PTC","|Get the Light of your life.  For less.  |Lock-in a low fixed rate plan and save.  |Make your bill more predictable with Gexa Energys Budget Billing.  |Free online bill pay and automatic billing options are also available.","https://www.gexaenergy.com/ComplianceDocFromDB.ashx?rateid=8758&doctype=TOS","https://www.gexaenergy.com/ComplianceDocFromDB.ashx?rateid=8758&doctype=EFL","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Brilliant Energy, LLC","Brilliant Low Price 24 Month Guarantee",0.1060,0.0860,0.0850,53.0000,86.0000,170.0000,False,1,"Fixed","2","Value","24","24","Text","200.00","http://www.brilliantenergyllc.com/","Pay by check, credit card, online, bank draftThis offer is exclusive to online enrollments. E-Billing Required","http://www.brilliantenergyllc.com/documents/tos.pdf","https://www.brilliantenergyllc.com/documents/efl24.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Southwest Power & Light","Renewable Healthy Heart Of Texas Fixed 18 Month Rate E-Plan ",0.1230,0.0980,0.0930,61.5000,98.0000,186.0000,False,1,"Fixed","100","Value","18","18","Value","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","https://www.southwestpl.com/Docs/swpl-efl-fixed-18-green.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Mission Power","Mission Savings 24",0.1139,0.0940,0.0940,56.9500,94.0000,188.0000,False,1,"Fixed","0","Value","24","24","Value","225.00","www.missionpower.com","No Special Terms","http://www.missionpower.info/web/pdf/tos/2011-08-23-DRAFT-Residential-Mission%20V%202.2.pdf","http://www.missionpower.info/app/edi/pdf/programs/20120503_FIX24_MP.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Brilliant Energy, LLC","Brilliant Low Price 36 Month Guarantee",0.1250,0.1040,0.1030,62.5000,104.0000,206.0000,False,1,"Fixed","2","Value","36","36","Value","200.00","http://www.brilliantenergyllc.com/","Pay by check, credit card, online, bank draft. This offer is exclusive to online enrollments. E-Billing required.","http://www.brilliantenergyllc.com/documents/tos.pdf","http://www.brilliantenergyllc.com/documents/efl36.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Southwest Power & Light","Texas Independence Month to Month E-Plan ",0.0900,0.0680,0.0650,45.0000,68.0000,130.0000,False,0,"Variable","10","Value","0","0","Value","0.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","http://www.southwestpl.com/Docs/swpl-tos-flex.pdf","https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Just Energy","Online Basic 12",0.1130,0.0950,0.0910,56.5000,95.0000,182.0000,False,1,"Fixed","1","Value","12","12","Value","150.00","http://justenergy.com/p/ptc/?referID=ptc-tx-nmpctnmp-justenergylink-rateshield12basic ","No Special Terms","http://www.justenergy.com/download_texas_document.html?file=dHlwZT1HeUlOdTA2M0pDbyUzRCZtYXJrZXQ9bFZGV09xY2dVaTglM0QmdGRzcD1GUk5ydTdkbTVzRSUzRCZkaXN0cmlidXRvcj0wbmZyV2pDU2hkMmF5NzYlMkZ1MUl6bnclM0QlM0QmcHJvZHVjdD1LbjVuakxENlV4dTVLNGthTW1xeXZzcnZZSUVremZ0dV","http://www.justenergy.com/download_texas_document.html?file=dHlwZT10REdBWDh3d255TSUzRCZtYXJrZXQ9bFZGV09xY2dVaTglM0QmdGRzcD1GUk5ydTdkbTVzRSUzRCZkaXN0cmlidXRvcj0wbmZyV2pDU2hkMmF5NzYlMkZ1MUl6bnclM0QlM0QmcHJvZHVjdD1LbjVuakxENlV4dTVLNGthTW1xeXZzcnZZSUVremZ0dV","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","YEP","9 Month Green Earth 100% Renewable Guaranteed E-Plan With Fixed Term ",0.1190,0.0970,0.0940,59.5000,97.0000,188.0000,False,1,"Fixed","100","Value","9","9","Value","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","http://www.yeptexas.com/Docs/yep-efl-fixed-9-green.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","YEP","Urban Advantage Renewable 16 Months Fixed Rate E-Plan With Guaranteed Savings",0.1320,0.1070,0.1020,66.0000,107.0000,204.0000,False,1,"Fixed","100","Value","16","16","Value","175.00","http://www.yeptexas.com/","No Special Terms","https://www.yeptexas.com/Docs/fff-yepresfixed-tos060107b.pdf","https://www.yeptexas.com/Docs/yep-efl-16-urben-green.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","Champion Energy Services","Savings Champ-24",0.0998,0.0966,0.0951,49.9000,96.6000,190.2000,False,1,"Fixed","12","Value","24","24","Value","250.00","http://www.championenergyservices.com/promo.asp?promo=POWERTOCHOOSE","Highest in Residential Customer Satisfaction with Retail Electric Service, Two Years in a RowChampion Energy Services received the highest numerical score among residential electric service providers in Texas in the proprietary J.D. Power and Associates 2010-2011 Texas Residential Retail Electric Service Satisfaction Studies (SM). 2011 study based on responses from 8,176 consumers measuring 19 providers and measures opinions of consumers with their electric service provider. Proprietary study results are based on experiences and perceptions of consumers surveyed between September 2010 and June 2011. Your experiences may vary. Visit jdpower.com","https://www.championenergyservices.com/ChampionEnergyServices-AEP(North)-TOS.pdf","https://www.championenergyservices.com/SavingsChamp24.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","True Electric","True Savings 24",0.1139,0.0940,0.0940,56.9500,94.0000,188.0000,False,1,"Fixed","0","Value","24","24","Value","225.00","www.trueelectric.com","No Special Terms","http://trueelectric.com/pdf/tos/2011-08-23-DRAFT-Residential-%20TRUE%20V%202.2.pdf","http://trueelectric.com/app/edi/pdf/programs/20120503_FIX24_TE.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Stream Energy","Flex Choice Plan",0.1570,0.1270,0.1230,78.5000,127.0000,246.0000,False,0,"Variable","11","Value","1","1","Value","0.00","http://www.streamenergy.net/","No Special Terms","http://www.streamenergy.net/stream_documents.asp","http://www.streamenergy.net/stream_documents.asp","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Spark Energy","Spark Online Advantage 12",0.1260,0.1030,0.1010,63.0000,103.0000,202.0000,False,1,"Fixed","0","Value","12","12","Value","175.00","https://www.sparkenergy.com","No Special Terms","http://www.sparkenergy.com/documents/pdf/79b68f1c-ad1e-4ed7-9179-7fa178ee0bc9.pdf","http://www.sparkenergy.com/documents/pdf/792da969-1244-42d0-a10d-2ff4ccb16077.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","Ambit Energy ","Lone Star Select-6 Month Term",0.1210,0.0980,0.0970,60.5000,98.0000,194.0000,False,1,"Fixed","5","Value","6","6","Value","100.00","http://www.myambit.com?pmc=P2C","No Special Terms","http://www.ambitenergy.com/mediaserver/media/get/TexasTermsOfService","http://www.ambitenergy.com/mediaserver/media/get/LSS6MTRNG6_19_279_1","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","Just Energy","Online Basic 36",0.1160,0.1080,0.1000,58.0000,108.0000,200.0000,False,1,"Fixed","1","Value","36","36","Text","Max $75 per partial or full yr","http://www.justenergy.com/p/ptc/rateshield36.html?referID=ptc-tx-aepnorth-justenergylink-rateshield36&utm_source=powertochoose&utm_medium=online-marketplaces&utm_content=aepnorth&utm_campaign=rateshield36","No Special Terms","http://www.justenergy.com/download_texas_document.html?file=dHlwZT1HeUlOdTA2M0pDbyUzRCZtYXJrZXQ9bFZGV09xY2dVaTglM0QmdGRzcD04alNXUTdXJTJGZHRzJTNEJmRpc3RyaWJ1dG9yPTBuZnJXakNTaGQyYXk3NiUyRnUxSXpudyUzRCUzRCZwcm9kdWN0PUdPU0QlMkJWcGV6ZU81SzRrYU1tcXl2c3J2WUlFa3","http://www.justenergy.com/download_texas_document.html?file=dHlwZT10REdBWDh3d255TSUzRCZtYXJrZXQ9bFZGV09xY2dVaTglM0QmdGRzcD04alNXUTdXJTJGZHRzJTNEJmRpc3RyaWJ1dG9yPTBuZnJXakNTaGQyYXk3NiUyRnUxSXpudyUzRCUzRCZwcm9kdWN0PUdPU0QlMkJWcGV6ZU81SzRrYU1tcXl2c3J2WUlFa3","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Reliant","Secure Advantage 12",0.1280,0.0990,0.0940,64.0000,99.0000,188.0000,False,1,"Fixed","20","Value","12","12","Value","150.00","http://www.reliant.com/en_US/Page/Shop/Public/misc_Acq_ReTargeting.jsp?txtPromocode=WF3713&s.campaign=A3P_ERCOT_2010JulPTCOffers","$9.95/month base charge if usage falls below 800 kWh in a month. No base charge for usage greater than or equal to 800 kWh/month. The price can change as described by the formula in the Electricity Facts Label and to reflect actual price changes that are allowed by Public Utility Commission rules due to changes in law or regulatory charges. See reliant.com for more details. This offer is for new customers only who enroll through Power to Choose or by using special promo code; Promo Code Required: WF3713.","http://www.reliant.com/files/09017518806d9b7f.pdf","http://www.reliant.com/files/0901751880abad10.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","Reliant","Clear Flex Plan",0.1180,0.0880,0.0830,59.0000,88.0000,166.0000,False,0,"Variable","7","Value","0","0","Value","0.00","http://www.reliant.com/en_US/Page/Shop/Public/misc_Acq_ReTargeting.jsp?txtPromocode=WF3713&s.campaign=A3P_ERCOT_2010JulPTCOffers","$9.95/month base charge if usage falls below 800 kWh in a month. No base charge for usage greater than or equal to 800 kWh/month. The price can change as described by the formula in the Electricity Facts Label and to reflect actual price changes that are allowed by Public Utility Commission rules due to changes in law or regulatory charges. See reliant.com for more details. This offer is for new customers only who enroll through Power to Choose or by using special promo code; Promo Code Required: WF3713.","http://www.reliant.com/files/09017518806d9b7f.pdf","http://www.reliant.com/files/0901751880abad22.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","TriEagle Energy","Green Eagle 12",0.0950,0.0900,0.0870,47.5000,90.0000,174.0000,False,1,"Fixed","100","Value","12","12","Text","$20.00 per month left in term","https://www.trieagleenergy.com/residential/default.aspx?utm_source=PowerToChoose&utm_medium=ptc&utm_term=G12%2Bmonth&utm_campaign=PowerToChoose","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties.<br />","http://www.trieagleenergy.com/docs/tos.pdf","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-WTU-G-12mo.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","TriEagle Energy","Eagle 24",0.1040,0.0990,0.0960,52.0000,99.0000,192.0000,False,1,"Fixed","4","Value","24","24","Text","$20.00 per month left in term","https://www.trieagleenergy.com/residential/default.aspx?utm_source=PowerToChoose&utm_medium=ptc&utm_term=24%2Bmonth&utm_campaign=PowerToChoose","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties.<br />","http://www.trieagleenergy.com/docs/tos.pdf","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CNP-24mo.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Ambit Energy","Certified Green Texas Variable Plan",0.1420,0.1330,0.1290,71.0000,133.0000,258.0000,False,0,"Variable","100","Value","0","0","Value","0.00","http://www.myambit.com?pmc=P2C","No Special Terms","http://www.ambitenergy.com/mediaserver/media/get/TexasTermsOfService","http://www.ambitenergy.com/mediaserver/media/get/CGTVPRNG0_508_283_1","","False","No Promotion",0
"","","SHARYLAND UTILITIES LP","Cirro Energy","Smart Lock 24",0.1200,0.1020,0.0990,60.0000,102.0000,198.0000,False,1,"Fixed","4","Value","24","24","Value","200.00","https://www.cirroenergy.com/Orders/default.aspx?order_path=1&offer_id=2123&tdsp_id=133&agent_id=101","Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA & MC ::: Easy Online Account Access ::: Strength and Reliability of a Fortune 200 Company.","http://www.cirroenergy.com/FileViewer.aspx?cd=inline&type=TosaFile&id=2118","http://www.cirroenergy.com/FileViewer.aspx?cd=inline&type=EflFile&id=2118","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Tara Energy","Paperless e-Plan Fixed - 12 Months",0.1060,0.0880,0.0870,53.0000,88.0000,174.0000,False,1,"Fixed","11","Value","12","12","Value","250.00","http://www.taraenergy.com/Tara06/view+plans+and+prices.aspx?DUNS=007929441&promocode=PTCFIXED","Online enrollment, e-billing, and auto-draft are required. ","http://www.taraenergy.com/WE/PDFRightsTerms/RES_TOS_ENG_TE.pdf","http://www.taraenergy.com/taraptcefls/TE_Res_EFL_TNMP_Paperless_12.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","YEP","24 Month Green Earth 100% Renewable E-Plan With Fixed Term ",0.1210,0.0960,0.0910,60.5000,96.0000,182.0000,False,1,"Fixed","100","Value","24","24","Value","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","http://www.yeptexas.com/Docs/yep-efl-fixed-24-green.pdf","","False","No Promotion",0
"","","SHARYLAND UTILITIES LP","Cirro Energy","Smart Lock 12",0.1160,0.0980,0.0950,58.0000,98.0000,190.0000,False,1,"Fixed","4","Value","12","12","Value","150.00","https://www.cirroenergy.com/Orders/default.aspx?order_path=1&offer_id=2122&tdsp_id=133&agent_id=101","Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA & MC ::: Easy Online Account Access ::: Strength and Reliability of a Fortune 200 Company.","http://www.cirroenergy.com/FileViewer.aspx?cd=inline&type=TosaFile&id=2115","http://www.cirroenergy.com/FileViewer.aspx?cd=inline&type=EflFile&id=2115","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Ambit Energy","Lone Star Select-6 Month Term",0.1240,0.0990,0.0970,62.0000,99.0000,194.0000,False,1,"Fixed","5","Value","6","6","Value","100.00","http://www.myambit.com?pmc=P2C","No Special Terms","http://www.ambitenergy.com/mediaserver/media/get/TexasTermsOfService","http://www.ambitenergy.com/mediaserver/media/get/LSS6MTRNG6_19_287_1","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Southwest Power & Light","12 Months Plant-A-Tree Fixed Rate E-Plan",0.1030,0.0810,0.0780,51.5000,81.0000,156.0000,False,1,"Fixed","10","Value","12","12","Value","175.00","http://www.southwestpl.com/SiteContent.aspx?cd=CPR01"," Every kilowatt hour you use goes toward planting a tree through the Arbor Day Foundation.  Improves our forest, rivers and wildlife while meeting your energy needs.  Sign-up today and protect Texas tomorrow!  Go to www.SouthwestPowerandLight.com ","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Reliant","SmartStart Plan",0.0920,0.0920,0.0920,46.0000,92.0000,184.0000,True,0,"Variable","7","Value","0","0","Value","0.00","http://www.reliant.com/en_US/Page/Shop/Public/misc_smartstart_landingpage.jsp?txtPromocode=WM0529&s.campaign=APR_2011SmartStartPTC","This pay-as-you-go plan lets you begin electricity service without a security deposit. Simply make an initial account payment, and your electricity usage will be subtracted from your balance. Set up daily usage notifications and low balance alerts to help you manage your costs. This plan requires customers to have a provisioned Smart Meter and you must maintain a positive balance to avoid interruption of service. This offer is for new customers only who enroll through Power to Choose or by using special promo code; Promo Code Required: WM0529.","http://www.reliant.com/files/090175188091fa21.pdf","http://www.reliant.com/files/0901751880ab14b4.pdf","http://www.reliant.com/en_US/Supporting_Docs/Legal/R1F1738aSmartStart_Disclosure_Statement.pdf","False","No Promotion",0
"","","CENTERPOINT ENERGY","Direct Energy","Price Protection Plan 24",0.1139,0.1048,0.1003,56.9500,104.8000,200.6000,False,1,"Fixed","10","Value","24","24","Value","300.00","https://www.directenergy.com/EN/Texas/RES/Pages/TXEnrollment.aspx?offercd=PWR2CHSE&Program=TXRL1126","- On-line enrollment only. - Lock in a great price and enjoy the peace of mind knowing your rates will not increase over the plan term.","https://www.directenergy.com/DocFiles/DE_FV_TOS_EN_091211.pdf","https://www.directenergy.com/DocFiles/TXRL1126_EFL_FV_ResEng021712.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Potentia Energy","Potentia Peace of Mind 6",0.1210,0.1010,0.1010,60.5000,101.0000,202.0000,False,1,"Fixed","6","Value","6","6","Value","150.00","https://www.potentiaenergy.com/residential.html","Enjoy our award-winning customer service - 2011 Better Business Bureau (BBB) Winner of Distinction. No e-billing or auto bill payment required. Now offering high consumption customers a credit of $9.99 each billing cycle.","https://enrollment.potentiaenergy.com/Documents/RT121911B.pdf","https://enrollment.potentiaenergy.com/Documents/TNMP_PPOM6_1010_050312.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","BOUNCE ENERGY","Easy Fixed 3",0.1100,0.0890,0.0860,55.0000,89.0000,172.0000,False,1,"Fixed","1","Value","3","3","Value","100.00","http://www.bounceenergy.com/texas/fixed-rate-electricity-3/msid/51","*Lock in for 3 months *Enrollment in the Bounce Energy Rewards Program. *Earn bill credits, gift cards, and FREE electricity for your loyalty to Bounce Energy.","http://www.bounceenergy.com/terms-of-service-fixed.pdf","http://www.bounceenergy.com/efls/easyfixed3.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","YEP","Guaranteed Savings & No Long Term Commitment E-Plan",0.1040,0.0820,0.0790,52.0000,82.0000,158.0000,False,0,"Variable","10","Value","0","0","Text","$0.00","http://www.yeptexas.com","No Special Terms","https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf","https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Cirro Energy","Smart Lock 24",0.1180,0.0970,0.0930,59.0000,97.0000,186.0000,False,1,"Fixed","4","Value","24","24","Value","150.00","https://www.cirroenergy.com/Orders/default.aspx?order_path=1&offer_id=3478&tdsp_id=61&agent_id=101","Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA & MC ::: Easy Online Account Access ::: Strength and Reliability of a Fortune 200 Company.","https://www.cirroenergy.com/FileViewer.aspx?cd=inline&type=TosaFile&id=3123","https://www.cirroenergy.com/FileViewer.aspx?cd=inline&type=EflFile&id=3123","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Texas Power","Texas Power Pure 100% Green Variable Plan",0.1714,0.1514,0.1514,85.7000,151.4000,302.8000,False,0,"Variable","100","Value","0","0","Value","0.00","http://www.texaspoweronline.com","No Special Terms","http://www.texaspoweronline.com/content/forms/TXP_TOS.pdf","http://www.texaspoweronline.com/content/forms/Pure/RES_EFL_CEN_VARPURE.pdf","","False","No Promotion",0
